DATE;TIME;GAME;BET;ODDS;STAKE;STATUS;RESULT;TIPSTER;SPORT;BOOKIE
"2025-12-18";"13:56:00";"Budkov Kjaer, N - Jodar, R";"Match Result: Jodar, R";"2.21";"300";"lost";"-300";"My bets";"Football";"Coolbet"
"2025-12-18";"13:56:00";"Sada Cruzeiro - Sir Safety Perugia";"Set Handicap (2 Way) 2.5 - 0: Sir Safety Perugia -2.5";"2.21";"300";"won";"363";"My bets";"Football";"Coolbet"
"2025-12-18";"01:12:00";"St Louis Blues - Winnipeg Jets";"Money Line: Winnipeg Jets";"6.43";"100";"lost";"-100";"My bets";"Football";"Coolbet"
