DATE;TIME;GAME;BET;ODDS;STAKE;STATUS;RESULT;TIPSTER;SPORT;BOOKIE
"2025-06-19";"07:52:00";"Rublev, A - Etcheverry, T";"Match Result: Rublev, A";"2.95";"568";"lost";"-568";"My bets";"Football";"Coolbet"
"2025-06-18";"18:47:00";"Slovenia U21 - Czech Republic U21";"1st Half Goals 0.5: Over 0.5";"2.43";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-18";"06:41:00";"Sabalenka, A - Masarova, R";"Match Result: Sabalenka, A";"2.42";"386";"lost";"-386";"My bets";"Football";"Coolbet"
"2025-06-18";"06:38:00";"Michelsen, A - Tsitsipas, S";"Match Result: Michelsen, A";"2.14";"500";"won";"570";"My bets";"Football";"Coolbet"
"2025-06-18";"06:12:00";"Bautista Agut, R - Mensik, J";"Match Result: Mensik, J";"1.72";"1000";"lost";"-1000";"My bets";"Football";"Coolbet"
"2025-06-17";"19:25:00";"Romania U21 - Slovakia U21";"Draw No Bet: Slovakia U21";"1.85";"1000";"won";"850";"My bets";"Football";"Coolbet"
"2025-06-17";"13:33:00";"Vondrousova, M - Keys, M";"Match Result: Keys, M";"2.17";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-17";"13:21:00";"Humbert, U - Shapovalov, D";"Match Result: Humbert, U";"2.31";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-17";"13:20:00";"Cerundolo, F - Michelsen, A";"Set Handicap 0 - 1.5: Michelsen, A +1.5";"1.74";"500";"won";"370";"My bets";"Football";"Coolbet"
"2025-06-17";"13:17:00";"Nakashima, B - Mpetshi Perricard, G";"Set Handicap 1.5 - 0: Nakashima, B +1.5";"2.24";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-17";"13:14:00";"Thompson, J - Munar, J";"Match Result: Thompson, J";"1.88";"600";"lost";"-600";"My bets";"Football";"Coolbet"
"2025-06-16";"15:21:00";"Real Madrid - Al-Hilal Riyadh";"Match Result (1X2): Real Madrid";"2.10";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-16";"15:16:00";"Muller, A - Bublik, A";"Match Result: Bublik, A";"1.92";"700";"won";"644";"My bets";"Football";"Coolbet"
"2025-06-15";"09:48:00";"Argentina - Italy";"Match Winner: Italy";"1.94";"580";"won";"545";"My bets";"Football";"Coolbet"
"2025-06-15";"09:47:00";"Poland - Serbia";"Match Winner: Poland";"2.00";"750";"won";"750";"My bets";"Football";"Coolbet"
"2025-06-14";"18:58:00";"FC Barcelona - SC Magdeburg";"Match Result (1X2): FC Barcelona";"1.80";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-14";"18:58:00";"Natus Vincere - G2 Esports";"Match Winner (2-way): Natus Vincere";"1.82";"600";"won";"492";"My bets";"Football";"Coolbet"
"2025-06-14";"17:41:00";"Hødd - Lillestrøm SK";"Match Result (1X2): Lillestrøm SK";"1.86";"750";"lost";"-750";"My bets";"Football";"Coolbet"
"2025-06-14";"17:38:00";"Hødd - Lillestrøm SK";"Match Result (1X2): Lillestrøm SK";"2.33";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-14";"00:27:00";"Indiana Pacers - Oklahoma City Thunder";"1st Half Handicap (2 Way) 3.5 - 0: Oklahoma City Thunder -3.5";"1.76";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-14";"00:27:00";"Houston Astros - Minnesota Twins";"Total Runs Over/Under (Action) 8: Over 8";"1.92";"500";"won";"460";"My bets";"Football";"Coolbet"
"2025-06-13";"13:40:00";"AEK Athens - Olympiacos";"Match Result (1X2): AEK Athens";"3.49";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-13";"13:35:00";"MOUZ - Team Liquid";"Match Winner (2-way): MOUZ";"2.13";"1000";"won";"1130";"My bets";"Football";"Coolbet"
"2025-06-08";"15:08:00";"TP-47 - Närpes Kraft";"Match Result (1X2): TP-47";"2.84";"290";"lost";"-290";"My bets";"Football";"Coolbet"
"2025-06-08";"00:42:00";"Bulgaria Women - Serbia Women";"Match Winner: Serbia Women";"2.97";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-07";"21:51:00";"EA7 Emporio Armani Milan - Segafredo Virtus Bologna";"Money Line: EA7 Emporio Armani Milan";"2.08";"472";"lost";"-472";"My bets";"Football";"Coolbet"
"2025-06-07";"14:00:00";"Finland - Netherlands";"Match Result (1X2): Netherlands";"1.99";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-07";"09:29:00";"Sabalenka, A - Gauff, C";"Match Result: Sabalenka, A";"2.44";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-07";"01:06:00";"Edmonton Oilers - Florida Panthers";"Money Line: Edmonton Oilers";"1.91";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-06-06";"20:47:00";"Norway - Italy";"Match Result (1X2): Norway";"2.63";"250";"won";"408";"My bets";"Football";"Coolbet"
"2025-06-06";"17:38:00";"Baskonia Vitoria-Gasteiz - Real Madrid";"Money Line: Real Madrid";"2.43";"600";"lost";"-600";"My bets";"Football";"Coolbet"
"2025-06-06";"15:06:00";"Olympiacos - AEK Athens";"Match Result (1X2): Olympiacos";"2.02";"600";"won";"612";"My bets";"Football";"Coolbet"
"2025-06-06";"14:42:00";"Musetti, L - Alcaraz, C";"Set Handicap 2.5 - 0: Musetti, L +2.5";"1.92";"500";"won";"460";"My bets";"Football";"Coolbet"
"2025-06-06";"14:41:00";"Bidasoa Irún - Grupo Pinta Torrelavega";"Match Result (1X2): Bidasoa Irún";"3.09";"300";"lost";"-300";"My bets";"Football";"Coolbet"
"2025-06-06";"14:19:00";"Musetti, L - Alcaraz, C";"Total Games Over/Under 33.5: Over 33.5";"1.00";"500";"pushed";"0";"My bets";"Football";"Coolbet"
"2025-06-06";"12:43:00";"Holt, Brandon - Mannarino, A";"Set Winner (Set 1): Mannarino, A";"1.70";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-06-06";"12:39:00";"AC Oulu - HJK Helsinki";"Match Result (1X2): HJK Helsinki";"1.79";"500";"cashed out";"-500";"My bets";"Football";"Coolbet"
"2025-06-05";"13:29:00";"Nagal, S - Pacheco Mendez, R";"Match Result: Nagal, S";"1.80";"300";"lost";"-300";"My bets";"Football";"Coolbet"
"2025-06-05";"12:32:00";"Sabalenka, A - Swiatek, I";"Match Result: Sabalenka, A";"1.82";"850";"won";"697";"My bets";"Football";"Coolbet"
"2025-06-05";"00:19:00";"Chicago White Sox - Detroit Tigers";"Run Line (Action) 1.5 - 0: Detroit Tigers -1.5";"1.82";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-05";"00:18:00";"Edmonton Oilers - Florida Panthers";"Money Line: Edmonton Oilers";"1.82";"500";"won";"410";"My bets";"Football";"Coolbet"
"2025-06-04";"21:43:00";"Zverev, A - Djokovic, N";"Match Result: Djokovic, N";"1.82";"500";"won";"410";"My bets";"Football";"Coolbet"
"2025-06-04";"21:42:00";"Germani Brescia - Lighthouse Trapani";"Money Line: Germani Brescia";"2.10";"700";"won";"770";"My bets";"Football";"Coolbet"
"2025-06-04";"17:59:00";"Heroic - FlyQuest";"Match Winner (2-way): Heroic";"1.87";"500";"won";"435";"My bets";"Football";"Coolbet"
"2025-06-04";"14:03:00";"MT Melsungen - TBV Lemgo";"Match Result (1X2): MT Melsungen";"1.86";"850";"lost";"-850";"My bets";"Football";"Coolbet"
"2025-06-04";"00:45:00";"Complexity Gaming - Fluxo";"Match Winner (2-way): Complexity Gaming";"1.94";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-04";"00:42:00";"Paris Basketball - JL Bourg-en-Bresse";"Money Line: Paris Basketball";"1.88";"750";"lost";"-750";"My bets";"Football";"Coolbet"
"2025-06-03";"20:00:00";"Paul, Tommy - Alcaraz, C";"Set Handicap 2.5 - 0: Paul, Tommy +2.5";"2.00";"150";"lost";"-150";"My bets";"Football";"Coolbet"
"2025-06-03";"19:59:00";"Paul, Tommy - Alcaraz, C";"Set Handicap 2.5 - 0: Paul, Tommy +2.5";"2.00";"200";"lost";"-200";"My bets";"Football";"Coolbet"
