DATE;TIME;GAME;BET;ODDS;STAKE;STATUS;RESULT;TIPSTER;SPORT;BOOKIE
"2025-12-06";"18:21:00";"Real Betis - FC Barcelona";"Double Chance: FC Barcelona/Draw";"2.42";"250";"lost";"-250";"My bets";"Football";"Coolbet"
"2025-12-06";"17:30:00";"MOUZ - Team Falcons";"Match Winner (2-way): Team Falcons";"2.51";"300";"lost";"-300";"My bets";"Football";"Coolbet"
"2025-12-06";"16:07:00";"SC Heerenveen - PSV";"Match Result (1X2): PSV";"2.32";"144";"won";"190";"My bets";"Football";"Coolbet"
"2025-12-06";"15:47:00";"Storhamar Hockey - Lillehammer IK";"Match Result (1X2): Storhamar Hockey";"2.06";"300";"lost";"-300";"My bets";"Football";"Coolbet"
"2025-12-06";"15:06:00";"VfB Stuttgart - FC Bayern München";"Match Result (1X2): FC Bayern München";"1.99";"300";"won";"297";"My bets";"Football";"Coolbet"
"2025-12-06";"00:56:00";"Tulane Green Wave - North Texas Mean Green";"Money Line: North Texas Mean Green";"1.75";"290";"lost";"-290";"My bets";"Football";"Coolbet"
"2025-12-05";"17:04:00";"ADO Den Haag - FC Emmen";"Match Result (1X2): ADO Den Haag";"3.77";"300";"won";"831";"My bets";"Football";"Coolbet"
"2025-12-05";"15:43:00";"Imperial - Team Falcons";"Match Winner (2-way): Team Falcons";"1.93";"200";"lost";"-200";"My bets";"Football";"Coolbet"
"2025-12-05";"00:43:00";"Detroit Lions - Dallas Cowboys";"Money Line: Detroit Lions";"2.87";"250";"lost";"-250";"My bets";"Football";"Coolbet"
"2025-12-04";"23:02:00";"Unió Esportiva Sant Andreu - Celta de Vigo";"To Qualify: Celta de Vigo";"1.88";"250";"won";"220";"My bets";"Football";"Coolbet"
"2025-12-04";"20:08:00";"Manchester United - West Ham";"Match Result (1X2): Manchester United";"1.90";"300";"lost";"-300";"My bets";"Football";"Coolbet"
"2025-12-03";"22:59:00";"CA Antoniano - Villarreal";"To Qualify: Villarreal";"1.83";"200";"won";"166";"My bets";"Football";"Coolbet"
"2025-12-03";"19:23:00";"Arsenal - Brentford";"Match Result (1X2): Arsenal";"3.42";"195";"won";"472";"My bets";"Football";"Coolbet"
"2025-12-03";"01:32:00";"Colorado Avalanche - Vancouver Canucks";"Match Result (1X2): Colorado Avalanche";"3.26";"59";"won";"133";"My bets";"Football";"Coolbet"
"2025-12-02";"15:13:00";"Fulham - Manchester City";"Early Win - Match Result (1X2): Manchester City";"4.54";"300";"lost";"-300";"My bets";"Football";"Coolbet"
"2025-12-02";"00:51:00";"Washington Wizards - Milwaukee Bucks";"Money Line: Milwaukee Bucks";"2.33";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-12-01";"21:14:00";"FC Arouca - SC Braga";"Match Result (1X2): SC Braga";"2.31";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-12-01";"15:48:00";"Brøndby IF - FC Fredericia";"Match Result (1X2): Brøndby IF";"2.07";"300";"lost";"-300";"My bets";"Football";"Coolbet"
"2025-11-30";"23:17:00";"FC Porto - Estoril Praia";"Total Goals 1.5: Under 1.5";"2.06";"350";"won";"371";"My bets";"Football";"Coolbet"
"2025-11-30";"20:04:00";"FC Porto - Estoril Praia";"Estoril Praia Total Goals 0.5: Under 0.5";"2.75";"300";"won";"525";"My bets";"Football";"Coolbet"
"2025-11-30";"20:02:00";"Olympique Lyonnais - FC Nantes";"Match Result (1X2): Olympique Lyonnais";"2.31";"300";"lost";"-300";"My bets";"Football";"Coolbet"
"2025-11-30";"19:58:00";"Girona - Real Madrid";"Asian Handicap 1 - 0: Real Madrid -1";"2.14";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-11-30";"17:07:00";"Rosenborg BK - Strømsgodset";"Match Result (1X2): Rosenborg BK";"1.76";"350";"won";"266";"My bets";"Football";"Coolbet"
"2025-11-30";"16:46:00";"Viking FK - Vålerenga";"Match Result (1X2): Viking FK";"2.01";"350";"won";"353";"My bets";"Football";"Coolbet"
"2025-11-30";"16:43:00";"Racing Genk - Oud-Heverlee Leuven";"Match Result (1X2): Racing Genk";"2.52";"300";"won";"456";"My bets";"Football";"Coolbet"
"2025-11-30";"16:42:00";"Bodø/Glimt - Fredrikstad";"Match Result (1X2): Bodø/Glimt";"1.96";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-11-30";"15:17:00";"Club Brugge - Royal Antwerp";"Match Result (1X2): Royal Antwerp";"2.25";"300";"won";"375";"My bets";"Football";"Coolbet"
"2025-11-30";"15:04:00";"Real Zaragoza - Leganés";"Match Result (1X2): Real Zaragoza";"2.44";"300";"won";"432";"My bets";"Football";"Coolbet"
"2025-11-30";"14:21:00";"Hibernian - Celtic";"Match Result (1X2): Celtic";"1.95";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-11-29";"19:34:00";"SG Flensburg-Handewitt - VfL Gummersbach";"Match Result (1X2): SG Flensburg-Handewitt";"1.80";"350";"lost";"-350";"My bets";"Football";"Coolbet"
"2025-11-29";"18:54:00";"Olympique Marseille - Toulouse FC";"Match Result (1X2): Olympique Marseille";"2.24";"350";"lost";"-350";"My bets";"Football";"Coolbet"
"2025-11-29";"18:15:00";"Atlético Madrid - Real Oviedo";"Match Result (1X2): Atlético Madrid";"2.05";"350";"won";"367";"My bets";"Football";"Coolbet"
"2025-11-29";"17:56:00";"Liberty Flames - Kennesaw State Owls";"Money Line: Kennesaw State Owls";"1.80";"300";"won";"240";"My bets";"Football";"Coolbet"
"2025-11-29";"15:56:00";"AS Monaco - Paris Saint-Germain";"Match Result (1X2): Paris Saint-Germain";"3.25";"300";"lost";"-300";"My bets";"Football";"Coolbet"
"2025-11-29";"15:54:00";"FC Barcelona - Deportivo Alaves";"Match Result (1X2): FC Barcelona";"1.79";"400";"won";"316";"My bets";"Football";"Coolbet"
"2025-11-29";"15:42:00";"Coventry - Charlton Athletic";"Match Result (1X2): Coventry";"2.00";"400";"won";"400";"My bets";"Football";"Coolbet"
"2025-11-29";"15:26:00";"FC Bayern München - FC St. Pauli";"Match Result (1X2): FC Bayern München";"1.69";"300";"won";"207";"My bets";"Football";"Coolbet"
"2025-11-29";"14:12:00";"Aurora - M80";"Match Winner (2-way): Aurora";"2.03";"300";"won";"309";"My bets";"Football";"Coolbet"
"2025-11-29";"01:13:00";"Santos FC - Sport Club do Recife";"Match Result (1X2): Santos FC";"2.35";"350";"won";"473";"My bets";"Football";"Coolbet"
"2025-11-28";"16:39:00";"ThSV Eisenach - THW Kiel";"Match Result (1X2): THW Kiel";"2.01";"350";"lost";"-350";"My bets";"Football";"Coolbet"
"2025-11-27";"21:38:00";"Real Betis - FC Utrecht";"Match Result (1X2): Real Betis";"4.44";"350";"won";"1204";"My bets";"Football";"Coolbet"
